"","Date","Close","Open","High","Low"
"698",2018-01-09,3413.9,3406.112,3417.228,3403.587
"699",2018-01-10,3421.834,3414.113,3430.214,3398.842
"700",2018-01-11,3425.345,3415.585,3426.483,3405.639
"701",2018-01-12,3428.941,3423.879,3435.424,3417.98
"702",2018-01-15,3410.488,3428.951,3442.501,3402.312
"703",2018-01-16,3436.594,3403.469,3437.583,3401.961
"704",2018-01-17,3444.671,3438.576,3465.205,3430.511
"705",2018-01-18,3474.754,3449.881,3476.546,3448.789
"706",2018-01-19,3487.864,3481.62,3498.434,3474.292
"707",2018-01-22,3501.362,3476.994,3503.386,3475.673
"708",2018-01-23,3546.505,3504.344,3547.222,3504.344
"709",2018-01-24,3559.465,3553.479,3569.489,3527.112
"710",2018-01-25,3548.307,3555.168,3571.481,3528.035
"711",2018-01-26,3558.129,3535.493,3574.905,3534.195
"712",2018-01-29,3523.001,3563.64,3587.032,3510.269
"713",2018-01-30,3488.009,3511.501,3523.051,3484.656
"714",2018-01-31,3480.833,3470.509,3495.453,3454.726
"715",2018-02-01,3446.98,3478.67,3495.093,3424.419
"716",2018-02-02,3462.081,3419.225,3463.164,3388.86
"717",2018-02-05,3487.497,3411.67,3487.721,3406.241
"718",2018-02-06,3370.652,3418.01,3440.124,3364.216
"719",2018-02-07,3309.26,3412.744,3425.538,3304.007
"720",2018-02-08,3262.05,3281.046,3307.162,3225.712
"721",2018-02-09,3129.851,3172.851,3180.11,3062.743
"722",2018-02-12,3154.125,3128.371,3168.126,3113.605
"723",2018-02-13,3184.959,3176.107,3219.217,3176.107
"724",2018-02-14,3199.159,3188.248,3203.497,3171.384
"725",2018-02-22,3268.559,3237.569,3269.916,3234.115
"726",2018-02-23,3289.024,3275.429,3294.134,3258.488
"727",2018-02-26,3329.574,3307.295,3335.986,3281.615
"728",2018-02-27,3292.068,3328.672,3328.672,3284.629
"729",2018-02-28,3259.408,3264.059,3277.832,3239.844
"730",2018-03-01,3273.755,3235.089,3280.149,3228.585
"731",2018-03-02,3254.528,3248.446,3269.938,3242.267
"732",2018-03-05,3256.926,3255.871,3269.4,3236.717
"733",2018-03-06,3289.642,3266.487,3290.253,3243.654
"734",2018-03-07,3271.668,3288.865,3308.406,3264.764
"735",2018-03-08,3288.406,3268.347,3289.497,3261.552
"736",2018-03-09,3307.166,3291.426,3309.715,3283.559
"737",2018-03-12,3326.699,3319.209,3333.561,3313.555
"738",2018-03-13,3310.239,3324.122,3333.875,3307.376
"739",2018-03-14,3291.382,3298.666,3304.979,3287.356
"740",2018-03-15,3291.112,3277.514,3297.098,3273.201
"741",2018-03-16,3269.882,3290.209,3300.565,3269.283
"742",2018-03-19,3279.252,3264.928,3280.567,3251.047
"743",2018-03-20,3290.64,3257.219,3292.574,3252.433
"744",2018-03-21,3280.952,3299.731,3314.209,3268.878
"745",2018-03-22,3263.48,3281.265,3288.797,3242.762
"746",2018-03-23,3152.761,3172.772,3188.235,3110.664
