"","Date","SH","JP","NS"
"420",2016-11-22,3248.35,18162.94,4726.91
"421",2016-11-23,3241.14,18333.41,4679.1
"422",2016-11-24,3241.74,18381.22,4660.46
"423",2016-11-25,3261.94,18356.89,4773.73
"424",2016-11-28,3277,18307.04,4804.92
"425",2016-11-29,3282.92,18308.48,4825.18
"426",2016-11-30,3250.03,18513.12,4747.03
"427",2016-12-01,3273.31,18426.08,4751.95
"428",2016-12-02,3243.84,18274.99,4702.04
"429",2016-12-05,3204.71,18360.54,4764.47
"430",2016-12-06,3199.65,18496.69,4792.27
"431",2016-12-07,3222.24,18765.47,4826.59
"432",2016-12-08,3215.37,18996.37,4808.04
"433",2016-12-09,3232.88,19155.03,4859
"434",2016-12-12,3152.97,19250.52,4873.84
"435",2016-12-13,3155.04,19253.61,4853.86
"436",2016-12-14,3140.53,19273.79,4870.02
"437",2016-12-15,3117.68,19401.15,4857.02
"438",2016-12-16,3122.98,19391.6,4873.21
"439",2016-12-19,3118.09,19494.53,4810.81
"440",2016-12-20,3102.88,19444.49,4734.1
"441",2016-12-21,3137.43,19427.67,4739.37
"442",2016-12-22,3139.56,19396.64,4778.14
"443",2016-12-23,3110.15,19403.06,4788.67
"444",2016-12-26,3122.57,19401.72,4851.94
"445",2016-12-27,3114.66,19145.14,4859.19
"446",2016-12-28,3102.24,19114.37,4895.9
"447",2016-12-29,3096.1,19594.16,4874.3
"448",2016-12-30,3103.64,19520.69,4935.84
"449",2017-01-03,3135.92,19454.33,4921.22
"450",2017-01-04,3158.79,19301.44,4933.41
"451",2017-01-05,3165.41,19364.67,4914.86
"452",2017-01-06,3154.32,19134.7,4934.85
"453",2017-01-09,3171.24,19287.28,4953.8
"454",2017-01-10,3161.67,19095.24,4948.9
"455",2017-01-11,3136.75,18813.53,4934.39
"456",2017-01-12,3119.29,18894.37,4940.02
"457",2017-01-13,3112.76,19072.25,4965.81
"458",2017-01-16,3103.43,19137.91,4926.29
"459",2017-01-17,3108.78,18891.03,4918.28
"460",2017-01-18,3113.01,18787.99,4863.62
"461",2017-01-19,3101.3,19057.5,4911.33
"462",2017-01-20,3123.14,19402.39,4937.2
"463",2017-01-23,3136.78,19467.4,4964.95
"464",2017-01-24,3142.55,19368.85,5007.08
"465",2017-01-25,3149.56,19041.34,5024.9
"466",2017-01-26,3159.17,19148.08,5035.17
"467",2017-02-03,3140.17,18914.58,5050.21
"468",2017-02-06,3156.98,18918.2,5041.43
"469",2017-02-07,3153.09,18976.71,5059.51
"470",2017-02-08,3166.98,18910.78,5044.65
"471",2017-02-09,3183.18,19007.6,5055.85
"472",2017-02-10,3196.7,18907.67,5051.17
"473",2017-02-13,3216.84,19378.93,5063.2
"474",2017-02-14,3217.93,19459.15,5065.7
"475",2017-02-15,3212.99,19238.98,5101.06
"476",2017-02-16,3229.62,19437.98,5151.47
"477",2017-02-17,3202.08,19347.53,5156.92
"478",2017-02-20,3239.96,19234.62,5168.06
"479",2017-02-21,3253.33,19251.08,5129.33
"480",2017-02-22,3261.22,19381.44,5116.77
"481",2017-02-23,3251.38,19379.87,5152.69
"482",2017-02-24,3253.43,19371.46,5147.7
"483",2017-02-27,3228.66,19283.54,5161.6
"484",2017-02-28,3241.73,19107.47,5167.96
"485",2017-03-01,3246.93,19118.99,5185.88
"486",2017-03-02,3230.03,19393.54,5196.58
"487",2017-03-03,3218.31,19564.8,5212.16
"488",2017-03-06,3233.87,19469.17,5226.69
"489",2017-03-07,3242.41,19379.14,5256.82
"490",2017-03-08,3240.67,19344.15,5271.07
"491",2017-03-09,3216.75,19254.03,5302.39
"492",2017-03-10,3212.76,19318.58,5300.64
"493",2017-03-13,3237.02,19604.61,5324.72
"494",2017-03-14,3239.33,19633.75,5350.73
"495",2017-03-15,3241.76,19609.5,5352.13
"496",2017-03-16,3268.94,19577.38,5332.37
"497",2017-03-17,3237.45,19590.14,5343.31
"498",2017-03-20,3250.81,19521.59,5347.55
"499",2017-03-21,3261.61,19455.88,5330.31
"500",2017-03-22,3245.22,19041.38,5390.99
"501",2017-03-23,3248.55,19085.31,5363.26
"502",2017-03-24,3269.45,19262.53,5373.48
"503",2017-03-27,3266.96,18985.59,5360.31
"504",2017-03-28,3252.95,19202.87,5351.28
"505",2017-03-29,3241.31,19217.48,5359.8
"506",2017-03-30,3210.24,19063.22,5363.98
"507",2017-03-31,3222.51,18909.26,5385.9
"508",2017-04-05,3270.31,18983.23,5394.57
"509",2017-04-06,3281.01,18810.25,5382.17
"510",2017-04-07,3286.62,18861.27,5416.25
"511",2017-04-10,3269.39,18597.06,5412.08
"512",2017-04-11,3288.97,18664.63,5408.76
"513",2017-04-12,3273.83,18797.88,5413.31
"514",2017-04-13,3275.96,18747.87,5332.53
"515",2017-04-14,3246.07,18552.61,5367.55
"516",2017-04-17,3222.17,18426.84,5355.14
"517",2017-04-18,3196.71,18335.63,5364
"518",2017-04-19,3170.69,18355.26,5374.27
"519",2017-04-20,3172.1,18418.59,5407.21
"520",2017-04-21,3173.15,18432.2,5430.27
"521",2017-04-24,3129.53,18430.49,5439.74
"522",2017-04-25,3134.57,18620.75,5436.23
"523",2017-04-26,3140.85,18875.88,5432.2
"524",2017-04-27,3152.19,19079.33,5440.41
"525",2017-04-28,3154.66,19289.43,5418.52
"526",2017-05-02,3143.71,19251.87,5420.88
"527",2017-05-03,3135.35,19196.74,5418.37
"528",2017-05-04,3127.37,19310.52,5421.68
"529",2017-05-05,3103.04,19445.7,5398.4
"530",2017-05-08,3078.61,19895.7,5377.03
"531",2017-05-09,3080.53,19843,5353.59
"532",2017-05-10,3052.79,19900.09,5399.2
"533",2017-05-11,3061.5,19961.55,5391.66
"534",2017-05-12,3083.51,19883.9,5399.64
"535",2017-05-15,3090.23,19869.85,5443.53
"536",2017-05-16,3112.96,19919.82,5442.05
"537",2017-05-17,3104.44,19814.88,5508.03
"538",2017-05-18,3090.14,19553.86,5548.19
"539",2017-05-19,3090.63,19590.76,5541.09
"540",2017-05-22,3075.68,19678.28,5571.28
"541",2017-05-23,3061.95,19613.28,5583.53
"542",2017-05-24,3064.08,19742.98,5629.63
"543",2017-05-25,3107.83,19813.13,5644.07
"544",2017-05-26,3110.06,19686.84,5625.16
"545",2017-05-31,3117.18,19682.57,5626.32
"546",2017-06-01,3102.62,19677.85,5646.09
"547",2017-06-02,3105.54,19650.57,5659.07
"548",2017-06-05,3091.66,19860.03,5678.31
"549",2017-06-06,3102.13,20177.28,5681.68
"550",2017-06-07,3140.33,20170.82,5674.22
"551",2017-06-08,3150.33,19979.9,5686.81
"552",2017-06-09,3158.4,19984.62,5704.48
"553",2017-06-12,3139.88,19909.26,5724.44
"554",2017-06-13,3153.74,20013.26,5580.55
"555",2017-06-14,3130.67,19908.58,5626.31
"556",2017-06-15,3132.49,19898.75,5651.56
"557",2017-06-16,3123.17,19883.52,5699.4
"558",2017-06-19,3144.37,19831.82,5703.35
